('798.19', '529.69')
('823.00', '529.69')
('847.80', '529.69')
('871.15', '529.69')
('895.96', '531.15')
('919.31', '531.15')
('944.11', '531.15')
('968.92', '532.61')
('993.73', '532.61')
('1017.07', '532.61')
('1041.88', '532.61')
('1066.69', '532.61')
('1090.03', '532.61')
('1114.84', '534.07')
('1139.65', '534.07')
('1162.99', '534.07')
('1186.34', '534.07')
('1211.15', '534.07')
('1234.50', '534.07')
('1259.30', '534.07')
('1282.65', '535.53')
('1307.46', '535.53')
('1330.80', '535.53')
('1354.15', '535.53')
('1378.96', '535.53')
('1402.31', '535.53')
('1427.11', '536.99')
('1450.46', '536.99')
('1473.81', '536.99')
('1498.61', '538.45')
('1521.96', '538.45')
('1545.31', '538.45')
('1570.11', '538.45')
('1593.46', '538.45')
('1641.62', '538.45')
('1616.81', '539.91')
('1664.96', '539.91')
('1688.31', '539.91')
('1711.66', '539.91')
('1736.47', '539.91')
('1759.81', '539.91')
('1784.62', '541.37')
('1809.43', '541.37')
('1834.23', '541.37')
('1857.58', '541.37')
('1880.93', '542.83')
('1905.73', '542.83')
('1929.08', '542.83')
('1952.43', '542.83')
('1977.24', '544.29')
('2002.04', '544.29')
('2025.39', '544.29')
('2048.74', '544.29')
('2073.54', '544.29')
('2096.89', '545.75')
('2120.24', '545.75')
('2143.59', '545.75')
('2168.39', '545.75')
('2191.74', '547.21')
('2216.55', '547.21')
('2241.35', '547.21')
('2264.70', '547.21')
('2288.05', '547.21')
('2312.85', '548.66')
('2336.20', '548.66')
('2359.55', '548.66')
('2409.16', '548.66')
('2432.51', '550.12')
('2457.32', '550.12')
('2504.01', '550.12')
('2528.82', '550.12')
('2480.66', '551.58')
('2552.17', '551.58')
('2576.97', '551.58')
('2600.32', '551.58')
('2623.67', '551.58')
('2648.47', '551.58')
('2671.82', '553.04')
('2696.63', '551.58')
('2719.98', '553.04')
('2744.78', '553.04')
('2768.13', '553.04')
('2791.48', '553.04')
('2816.28', '554.50')
('2839.63', '554.50')
('2864.44', '554.50')
('2887.79', '554.50')
('2912.59', '554.50')
('2934.48', '554.50')
('2959.29', '555.96')
('2982.63', '555.96')
('3007.44', '555.96')
('3030.79', '555.96')
('3054.14', '557.42')
('3077.48', '557.42')
('3102.29', '557.42')
('3125.64', '557.42')
('3150.44', '557.42')
('3173.79', '557.42')
('3198.60', '558.88')
('3221.95', '558.88')
('3246.75', '558.88')
('3270.10', '558.88')
('3293.45', '560.34')
('3318.25', '560.34')
('3341.60', '560.34')
('3366.41', '560.34')
('3389.76', '561.80')
('3413.10', '561.80')
('3437.91', '560.34')
('3461.26', '560.34')
('3484.60', '560.34')
('3509.41', '561.80')
('3532.76', '561.80')
('3557.56', '563.26')
('3580.91', '563.26')
('3604.26', '564.72')
('3629.07', '564.72')
('3652.41', '564.72')
('3677.22', '564.72')
('3700.57', '564.72')
('3725.37', '564.72')
('3748.72', '566.18')
('3772.07', '566.18')
('3796.88', '566.18')
('3820.22', '566.18')
('4930.69', '601.20')
('4956.95', '601.20')
('4984.68', '601.20')
('183.86', '796.73')
('4622.79', '973.30')
('4649.06', '973.30')
('4676.78', '973.30')
('4704.51', '973.30')
('4732.23', '974.76')
('4759.96', '974.76')
('4786.22', '974.76')
('4815.41', '974.76')
('4841.67', '974.76')
('4869.40', '974.76')
('4897.12', '976.21')
('4924.85', '976.21')
('4951.11', '976.21')
('4978.84', '976.21')
('5445.79', '974.76')
('5006.56', '977.67')
('5034.29', '977.67')
('5062.02', '977.67')
('5089.74', '977.67')
('5116.01', '977.67')
('5143.73', '979.13')
('5174.37', '979.13')
('5199.18', '979.13')
('5225.45', '979.13')
('5419.52', '977.67')
('5253.17', '980.59')
('5280.90', '980.59')
('5308.62', '980.59')
('5336.35', '980.59')
('5364.07', '980.59')
('5391.80', '982.05')
('5473.51', '982.05')
('5501.24', '982.05')
('5528.96', '980.59')
('5555.23', '982.05')
('5582.95', '982.05')
('5610.68', '982.05')
('5638.40', '982.05')
('5666.13', '982.05')
('5692.40', '983.51')
('5720.12', '984.97')
('5747.85', '984.97')
('5775.57', '984.97')
('5803.30', '984.97')
('5831.02', '984.97')
('5857.29', '984.97')
('5885.01', '986.43')
('5912.74', '986.43')
('5940.46', '986.43')
('5968.19', '986.43')
('5994.45', '987.89')
('6022.18', '987.89')
('6049.90', '987.89')
('6077.63', '987.89')
('6105.35', '987.89')
('6131.62', '987.89')
('6159.34', '989.35')
('6187.07', '989.35')
('6214.79', '989.35')
('6242.52', '990.81')
('6268.79', '990.81')
('6296.51', '990.81')
('6324.24', '990.81')
('6351.96', '990.81')
('6378.23', '992.27')
('6405.95', '993.73')
('6433.68', '993.73')
('6461.40', '993.73')
('6570.84', '993.73')
('6489.13', '995.18')
('6515.39', '995.18')
('6543.12', '995.18')
('6598.57', '995.18')
('6626.29', '995.18')
('6762.00', '996.64')
('6789.73', '996.64')
('6811.61', '996.64')
('6845.18', '998.10')
('6871.44', '998.10')
('6899.17', '998.10')
('6926.89', '998.10')
('6954.62', '998.10')
('6982.34', '998.10')
('7008.61', '999.56')
('7036.33', '1001.02')
('7064.06', '1001.02')
('7091.78', '1001.02')
('7119.51', '1001.02')
('7145.77', '1001.02')
('7173.50', '1001.02')
('7201.22', '1001.02')
('7227.49', '1002.48')
('7255.21', '1003.94')
('7282.94', '1003.94')
('7310.66', '1003.94')
('7336.93', '1003.94')
('7364.66', '1003.94')
('7392.38', '1005.40')
('7420.11', '1005.40')
('7447.83', '1005.40')
('7474.10', '1005.40')
('7611.26', '1008.32')
('7637.53', '1008.32')
('7665.25', '1008.32')
('7692.98', '1008.32')
('7719.24', '1009.78')
('7746.97', '1009.78')
('7774.69', '1009.78')
('7800.96', '1009.78')
('7828.69', '1009.78')
('7856.41', '1009.78')
('7882.68', '1009.78')
('7910.40', '1011.24')
('7938.13', '1011.24')
('7964.39', '1011.24')
('53.99', '1031.66')
('78.80', '1031.66')
('103.60', '1031.66')
('126.95', '1031.66')
('176.56', '1031.66')
('151.76', '1033.12')
('201.37', '1033.12')
('226.18', '1033.12')
('249.53', '1033.12')
('274.33', '1033.12')
('297.68', '1033.12')
('322.49', '1034.58')
('347.29', '1034.58')
('373.56', '1034.58')
('398.37', '1034.58')
('421.71', '1034.58')
('446.52', '1036.04')
('469.87', '1036.04')
('494.67', '1036.04')
('519.48', '1036.04')
('544.29', '1037.50')
('569.09', '1036.04')
('593.90', '1036.04')
('618.71', '1037.50')
('643.51', '1037.50')
('691.67', '1037.50')
('716.47', '1037.50')
('666.86', '1038.96')
('741.28', '1038.96')
('766.09', '1038.96')
('790.89', '1038.96')
('815.70', '1038.96')
('839.05', '1038.96')
('863.85', '1040.42')
('888.66', '1040.42')
('912.01', '1040.42')
('936.82', '1040.42')
('984.97', '1040.42')
('1009.78', '1040.42')
('961.62', '1041.88')
('1034.58', '1041.88')
('1057.93', '1041.88')
('1082.74', '1041.88')
('1106.08', '1041.88')
('1130.89', '1041.88')
('1155.70', '1043.34')
('1179.05', '1043.34')
('1202.39', '1043.34')
('1227.20', '1043.34')
('1250.55', '1044.80')
('1275.35', '1044.80')
('1298.70', '1044.80')
('1323.51', '1044.80')
('1346.85', '1046.26')
('1370.20', '1044.80')
('1393.55', '1044.80')
('1418.36', '1046.26')
('1441.70', '1046.26')
('1466.51', '1047.72')
('1489.86', '1047.72')
('1514.66', '1047.72')
('1538.01', '1047.72')
('1562.82', '1047.72')
('1586.17', '1049.18')
('1609.51', '1047.72')
('1632.86', '1049.18')
('1657.67', '1049.18')
('1681.02', '1049.18')
('1705.82', '1049.18')
('1730.63', '1050.63')
('1753.98', '1050.63')
('1778.78', '1050.63')
('1802.13', '1050.63')
('1826.94', '1050.63')
('1850.28', '1050.63')
('1873.63', '1050.63')
('1898.44', '1052.09')
('1945.13', '1052.09')
('1921.79', '1053.55')
('1969.94', '1053.55')
('1993.29', '1053.55')
('2018.09', '1055.01')
('2042.90', '1055.01')
('2066.25', '1055.01')
('2089.60', '1055.01')
('2114.40', '1055.01')
('2137.75', '1056.47')
('2162.56', '1056.47')
('2185.90', '1056.47')
('2209.25', '1056.47')
('2234.06', '1056.47')
('2257.40', '1056.47')
('2282.21', '1057.93')
('2305.56', '1057.93')
('2330.37', '1057.93')
('2353.71', '1057.93')
('2401.87', '1057.93')
('2450.02', '1057.93')
('2425.21', '1059.39')
('2473.37', '1059.39')
('2496.72', '1059.39')
('2521.52', '1059.39')
('2544.87', '1060.85')
('2569.68', '1060.85')
('2593.02', '1060.85')
('2616.37', '1060.85')
('2641.18', '1060.85')
('2665.98', '1062.31')
('2689.33', '1062.31')
('2712.68', '1062.31')
('2737.49', '1062.31')
('2760.83', '1062.31')
('2785.64', '1063.77')
('2808.99', '1063.77')
('2832.34', '1063.77')
('2849.85', '1063.77')
('2873.19', '1063.77')
('2903.84', '1063.77')
('2928.64', '1063.77')
('2953.45', '1063.77')
('2976.80', '1065.23')
('3000.15', '1065.23')
('3024.95', '1065.23')
('3048.30', '1065.23')
('3065.81', '1065.23')
('3094.99', '1066.69')
('3119.80', '1066.69')
('3143.15', '1066.69')
('3167.95', '1066.69')
('3191.30', '1066.69')
('3216.11', '1068.15')
('3239.46', '1068.15')
('3262.80', '1068.15')
('3287.61', '1068.15')
('3310.96', '1068.15')
('3335.76', '1068.15')
('3359.11', '1068.15')
('3383.92', '1068.15')
('3407.27', '1069.60')
('3432.07', '1069.60')
('3455.42', '1071.06')
('3478.77', '1071.06')
('3503.57', '1071.06')
('3526.92', '1071.06')
('3550.27', '1072.52')
('3575.08', '1072.52')
('3598.42', '1072.52')
('3623.23', '1072.52')
('3646.58', '1072.52')
('3669.92', '1072.52')
('3693.27', '1073.98')
('3718.08', '1073.98')
('3741.43', '1073.98')
('3764.77', '1073.98')
('3789.58', '1073.98')
('3815.85', '1073.98')
('4457.90', '1125.05')
('4485.63', '1125.05')
('4513.35', '1126.51')
('4539.62', '1126.51')
('4567.34', '1126.51')
('4595.07', '1126.51')
('6652.56', '1149.86')
('6680.28', '1149.86')
('6708.01', '1149.86')
('6734.27', '1149.86')
('7501.82', '1160.08')
('7529.55', '1160.08')
('7555.81', '1160.08')
('7583.54', '1160.08')
('5171.46', '1237.41')
('4177.73', '1453.38')
('4204.00', '1453.38')
('4231.72', '1454.84')
('4259.45', '1454.84')
('4287.17', '1454.84')
('4314.90', '1454.84')
('4342.62', '1454.84')
('4368.89', '1456.30')
('4398.07', '1456.30')
('4424.34', '1456.30')
('4452.06', '1456.30')
('4479.79', '1456.30')
('4507.51', '1456.30')
('4533.78', '1457.76')
('4561.50', '1457.76')
('4589.23', '1457.76')
